college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
945:VOGCOE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185700,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,34.0,19.0,21.0,11.0,40.0,19.0,9.0,33.0,19.0,21.0,12.0,32.0,19.0,9.0,5.15,4.94,5.65,5.18,4.93,4.93,6.3,6.77,5.7
945:VOGCOE,INFORMATION TECHNOLOGY ENGINEERING,12184198,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,46.0,16.0,17.0,14.0,32.0,12.0,9.0,34.0,18.0,18.0,10.0,33.0,15.0,11.0,4.93,5.17,5.0,4.86,5.15,4.96,5.85,6.04,5.35
945:VOGCOE,MECHANICAL,14186121,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,15.0,13.0,8.0,32.0,18.0,8.0,32.0,18.0,19.0,8.0,32.0,18.0,8.0,4.98,4.74,5.17,5.11,5.04,4.79,5.67,6.64,5.45
946:GMVIT,CIVIL,6183487,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,14.0,14.0,8.0,32.0,17.0,9.0,34.0,17.0,18.0,10.0,35.0,19.0,8.0,5.22,5.59,5.21,5.19,4.84,5.5,5.52,6.88,5.61
946:GMVIT,COMPUTER ENGINEERING,7186061,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,20.0,20.0,12.0,35.0,22.0,12.0,36.0,18.0,20.0,9.0,32.0,18.0,11.0,4.85,4.67,5.21,4.89,5.58,6.08,6.76,7.3,6.01
946:GMVIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185711,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,38.0,20.0,18.0,11.0,32.0,22.0,15.0,35.0,19.0,18.0,13.0,32.0,23.0,17.0,5.22,4.81,4.96,5.21,6.37,5.57,5.59,7.12,5.61
946:GMVIT,INFORMATION TECHNOLOGY ENGINEERING,51283283,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,35.0,22.0,21.0,13.0,33.0,18.0,9.0,32.0,22.0,22.0,12.0,32.0,23.0,17.0,5.04,5.72,5.07,5.14,5.35,6.0,6.7,6.69,5.9
946:GMVIT,MECHANICAL,14186187,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,25.0,0.0,17.0,9.0,22.0,20.0,8.0,22.0,19.0,13.0,8.0,23.0,19.0,11.0,5.11,5.21,4.75,5.11,4.96,4.46,5.63,6.68,5.49
948:BRHCET,AUTOMOBILE ENGINEERING,39280403,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,36.0,17.0,17.0,11.0,33.0,18.0,13.0,32.0,18.0,17.0,13.0,35.0,16.0,10.0,5.33,5.2,5.96,5.43,5.48,4.04,6.12,6.44,5.83
948:BRHCET,CIVIL,6183538,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,12.0,13.0,8.0,32.0,12.0,10.0,32.0,12.0,13.0,8.0,32.0,12.0,8.0,4.74,4.84,4.74,4.42,4.0,4.0,5.11,5.17,4.83
