university,page_no,department,result_sem,exam_held_on,college_code,result_date,seat_no,elective,result,c1,c2,c3,c4,c5,c6,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_or,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_or,c4_in,c5_tw,c5_or,c6_tw,c6_or,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi,0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181001,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,53,20,21,16,56,19,18,19,52,19,20,18,43,20,21,16,20,--,40,42,['SEM-I:6.52'],['SEM-II:6.89'],['SEM-III:6.50'],['SEM-IV:5.82'],['SEM-V:7.13'],['SEM-VI:8.17'],['SEM-VII:8.64'],8.41,['CGPI:7.26'],15.0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181002,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,67,24,24,20,60,21,19,20,64,24,24,19,54,23,23,17,24,--,48,48,['SEM-I:7.22'],['SEM-II:6.93'],['SEM-III:8.54'],['SEM-IV:8.18'],['SEM-V:8.42'],['SEM-VI:8.42'],['SEM-VII:9.04'],9.70,['CGPI:8.31'],24.0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181003,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,54,21,20,19,63,18,18,20,55,24,22,20,52,22,21,19,23,--,47,45,[],[],['SEM-III:6.79'],['SEM-IV:9.00'],['SEM-V:9.42'],['SEM-VI:9.67'],['SEM-VII:8.96'],9.19,['CGPI:8.84'],33.0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181004,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,51,21,20,19,60,20,18,20,47,23,21,18,52,22,23,20,21,--,48,48,['SEM-I:6.20'],['SEM-II:6.11'],['SEM-III:5.82'],['SEM-IV:6.54'],['SEM-V:6.79'],['SEM-VI:8.71'],['SEM-VII:7.96'],8.93,['CGPI:7.13'],42.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181005,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,20,19,16,55,18,19,17,37,22,20,18,41,20,20,18,23,--,40,42,['SEM-I:6.41'],['SEM-II:6.13'],['SEM-III:5.96'],['SEM-IV:6.82'],['SEM-V:7.42'],['SEM-VI:7.50'],['SEM-VII:8.36'],8.11,['CGPI:7.09'],79.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181006,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,38,12,18,14,40,14,19,15,39,14,17,17,45,11,16,15,18,--,40,35,['SEM-I:7.44'],['SEM-II:7.33'],['SEM-III:7.39'],['SEM-IV:6.57'],['SEM-V:6.96'],['SEM-VI:6.00'],['SEM-VII:6.56'],7.00,['CGPI:6.91'],88.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181007,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,56,20,20,20,58,15,20,20,44,23,22,19,50,20,22,19,19,--,41,39,[],[],['SEM-III:8.29'],['SEM-IV:9.57'],['SEM-V:9.67'],['SEM-VI:9.79'],['SEM-VII:9.16'],8.70,['CGPI:9.20'],97.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181008,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,65,20,19,19,62,17,21,18,52,24,24,20,43,22,22,19,21,--,46,46,[],[],['SEM-III:7.96'],['SEM-IV:8.11'],['SEM-V:9.00'],['SEM-VI:9.13'],['SEM-VII:8.80'],9.19,['CGPI:8.70'],106.0
"UNIVERSITY OF MUMBAI 
",3,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181009,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,47,22,21,16,43,22,18,17,40,23,24,17,40,24,23,17,22,--,49,48,['SEM-I:5.56'],['SEM-II:6.78'],['SEM-III:5.93'],['SEM-IV:6.07'],['SEM-V:6.42'],['SEM-VI:6.96'],['SEM-VII:8.20'],7.93,['CGPI:6.73'],143.0
"UNIVERSITY OF MUMBAI 
",3,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181010,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,19,20,19,52,18,18,19,39,24,21,20,45,22,22,19,22,--,40,38,[],[],['SEM-III:7.07'],['SEM-IV:8.04'],['SEM-V:9.00'],['SEM-VI:8.92'],['SEM-VII:8.64'],8.04,['CGPI:8.29'],152.0
"UNIVERSITY OF MUMBAI 
",3,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181011,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,60,20,20,20,61,18,18,20,54,24,21,20,47,20,21,19,23,--,47,45,[],[],['SEM-III:7.32'],['SEM-IV:8.50'],['SEM-V:7.63'],['SEM-VI:9.42'],['SEM-VII:8.04'],9.19,['CGPI:8.35'],161.0
"UNIVERSITY OF MUMBAI 
",3,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181012,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,32,21,18,13,47,21,19,12,32,24,22,10,32,23,21,11,20,--,46,46,['SEM-I:5.19'],['SEM-II:6.26'],['SEM-III:5.04'],['SEM-IV:4.75'],['SEM-V:0.00'],['SEM-VI:5.04'],['SEM-VII:7.40'],6.85,['CGPI:--'],170.0
"UNIVERSITY OF MUMBAI 
",4,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181013,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,53,21,19,20,57,20,21,19,44,24,24,20,49,24,23,20,22,--,48,48,['SEM-I:7.00'],['SEM-II:7.30'],['SEM-III:7.79'],['SEM-IV:8.32'],['SEM-V:9.50'],['SEM-VI:9.00'],['SEM-VII:9.36'],8.67,['CGPI:8.37'],207.0
"UNIVERSITY OF MUMBAI 
",4,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181014,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,19,18,18,50,17,16,14,42,18,19,17,32,11,20,20,20,--,38,41,['SEM-I:5.85'],['SEM-II:6.26'],['SEM-III:5.43'],['SEM-IV:5.75'],['SEM-V:5.71'],['SEM-VI:5.54'],['SEM-VII:6.80'],7.48,['CGPI:6.10'],216.0
"UNIVERSITY OF MUMBAI 
",4,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181015,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,59,24,21,18,61,20,19,20,51,24,24,20,57,23,23,20,23,--,48,47,['SEM-I:8.52'],['SEM-II:7.91'],['SEM-III:8.75'],['SEM-IV:8.07'],['SEM-V:9.58'],['SEM-VI:9.13'],['SEM-VII:8.68'],9.37,['CGPI:8.75'],225.0
"UNIVERSITY OF MUMBAI 
",4,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181016,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,59,18,19,16,55,16,18,16,47,21,20,14,47,19,21,16,20,--,45,45,['SEM-I:6.33'],['SEM-II:5.74'],['SEM-III:5.39'],['SEM-IV:4.86'],['SEM-V:6.42'],['SEM-VI:6.71'],['SEM-VII:7.40'],8.48,['CGPI:6.42'],234.0
"UNIVERSITY OF MUMBAI 
",5,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181017,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,62,22,24,18,62,22,20,18,45,22,21,18,55,22,22,19,24,--,48,47,['SEM-I:6.33'],['SEM-II:7.00'],['SEM-III:6.89'],['SEM-IV:7.75'],['SEM-V:8.67'],['SEM-VI:8.83'],['SEM-VII:8.52'],9.26,['CGPI:7.91'],271.0
"UNIVERSITY OF MUMBAI 
",5,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181018,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,32,21,20,18,41,19,16,15,43,21,20,15,43,20,20,15,20,--,40,42,['SEM-I:6.63'],['SEM-II:7.30'],['SEM-III:6.54'],['SEM-IV:6.68'],['SEM-V:7.21'],['SEM-VI:7.46'],['SEM-VII:7.48'],7.56,['CGPI:7.11'],280.0
"UNIVERSITY OF MUMBAI 
",5,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181019,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,58,21,20,17,58,19,18,18,53,21,21,18,51,19,20,16,23,--,48,48,['SEM-I:6.67'],['SEM-II:6.70'],['SEM-III:8.11'],['SEM-IV:7.57'],['SEM-V:8.04'],['SEM-VI:8.08'],['SEM-VII:8.80'],8.85,['CGPI:7.85'],289.0
"UNIVERSITY OF MUMBAI 
",5,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181020,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,49,19,23,15,55,18,18,15,39,20,23,15,46,18,20,15,20,--,46,46,['SEM-I:6.56'],['SEM-II:6.52'],['SEM-III:6.07'],['SEM-IV:5.93'],['SEM-V:7.08'],['SEM-VI:7.54'],['SEM-VII:7.48'],8.11,['CGPI:6.91'],298.0
"UNIVERSITY OF MUMBAI 
",6,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181021,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,52,22,23,19,52,22,20,20,39,23,22,18,41,24,23,20,23,--,48,48,['SEM-I:6.81'],['SEM-II:7.33'],['SEM-III:7.86'],['SEM-IV:7.71'],['SEM-V:7.71'],['SEM-VI:8.75'],['SEM-VII:9.04'],8.37,['CGPI:7.95'],335.0
"UNIVERSITY OF MUMBAI 
",6,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181022,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,63,24,23,20,61,23,19,20,62,24,23,20,58,24,23,19,24,--,49,49,['SEM-I:7.26'],['SEM-II:7.48'],['SEM-III:8.21'],['SEM-IV:9.14'],['SEM-V:9.83'],['SEM-VI:9.83'],['SEM-VII:9.20'],9.85,['CGPI:8.85'],344.0
"UNIVERSITY OF MUMBAI 
",6,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181023,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,63,24,23,20,53,22,22,20,61,24,24,20,57,24,24,20,24,--,49,49,['SEM-I:6.15'],['SEM-II:7.00'],['SEM-III:8.54'],['SEM-IV:9.68'],['SEM-V:9.83'],['SEM-VI:9.58'],['SEM-VII:9.40'],9.56,['CGPI:8.72'],353.0
"UNIVERSITY OF MUMBAI 
",6,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181024,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,50,20,23,20,62,19,21,20,60,24,24,19,61,23,23,19,23,--,48,48,['SEM-I:7.22'],['SEM-II:8.67'],['SEM-III:8.89'],['SEM-IV:9.04'],['SEM-V:9.67'],['SEM-VI:9.25'],['SEM-VII:8.84'],9.56,['CGPI:8.89'],362.0
"UNIVERSITY OF MUMBAI 
",7,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181025,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,50,18,16,12,48,19,16,14,33,21,21,15,41,21,22,11,21,--,40,35,['SEM-I:6.22'],['SEM-II:6.15'],['SEM-III:4.82'],['SEM-IV:5.39'],['SEM-V:5.46'],['SEM-VI:5.33'],['SEM-VII:6.96'],7.37,['CGPI:5.96'],399.0
"UNIVERSITY OF MUMBAI 
",7,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181026,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,62,23,24,20,60,24,19,19,49,22,23,20,63,24,22,19,24,--,48,48,['SEM-I:7.19'],['SEM-II:8.41'],['SEM-III:8.18'],['SEM-IV:8.39'],['SEM-V:10.00;'],['SEM-VI:9.50'],['SEM-VII:9.36'],9.41,['CGPI:8.81'],408.0
"UNIVERSITY OF MUMBAI 
",7,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181027,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,63,17,19,17,54,14,16,17,35,21,21,15,59,16,24,13,21,--,45,45,[],[],['SEM-III:6.64'],['SEM-IV:7.89'],['SEM-V:7.71'],['SEM-VI:8.63'],['SEM-VII:7.40'],8.63,['CGPI:7.82'],417.0
"UNIVERSITY OF MUMBAI 
",7,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181028,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,70,24,23,20,55,24,18,20,65,24,22,19,55,24,24,20,24,--,48,48,['SEM-I:7.93'],['SEM-II:8.41'],['SEM-III:8.43'],['SEM-IV:8.57'],['SEM-V:9.13'],['SEM-VI:9.42'],['SEM-VII:9.32'],9.70,['CGPI:8.86'],426.0
"UNIVERSITY OF MUMBAI 
",8,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181029,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,62,15,20,17,64,18,20,20,45,16,19,19,59,15,24,19,20,--,48,48,['SEM-I:6.35'],['SEM-II:7.96'],['SEM-III:7.36'],['SEM-IV:7.46'],['SEM-V:8.54'],['SEM-VI:8.50'],['SEM-VII:7.76'],9.04,['CGPI:7.87'],463.0
"UNIVERSITY OF MUMBAI 
",8,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181030,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,70,22,21,20,65,17,23,20,61,23,23,20,51,22,23,20,20,--,45,47,[],[],['SEM-III:8.46'],['SEM-IV:9.71'],['SEM-V:9.83'],['SEM-VI:10.00;'],['SEM-VII:9.68'],9.70,['CGPI:9.56'],472.0
"UNIVERSITY OF MUMBAI 
",8,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181031,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,19,22,17,57,14,20,18,48,22,22,17,43,16,23,14,19,--,46,46,[],[],['SEM-III:8.21'],['SEM-IV:8.50'],['SEM-V:8.83'],['SEM-VI:9.13'],['SEM-VII:8.32'],8.33,['CGPI:8.55'],481.0
"UNIVERSITY OF MUMBAI 
",8,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181032,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,58,21,22,18,60,21,21,20,52,24,22,20,47,23,24,20,24,--,48,47,['SEM-I:7.74'],['SEM-II:7.63'],['SEM-III:8.71'],['SEM-IV:8.29'],['SEM-V:8.83'],['SEM-VI:8.88'],['SEM-VII:9.64'],9.11,['CGPI:8.60'],490.0
"UNIVERSITY OF MUMBAI 
",9,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181033,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,46,13,20,15,43,18,18,20,37,16,18,16,41,16,24,16,18,--,48,48,['SEM-I:7.78'],['SEM-II:7.48'],['SEM-III:7.46'],['SEM-IV:7.32'],['SEM-V:7.54'],['SEM-VI:7.42'],['SEM-VII:8.00'],7.56,['CGPI:7.57'],527.0
"UNIVERSITY OF MUMBAI 
",9,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181034,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,48,19,18,16,57,20,18,18,52,23,21,18,42,23,22,17,20,--,47,47,['SEM-I:6.37'],['SEM-II:7.37'],['SEM-III:7.00'],['SEM-IV:7.64'],['SEM-V:7.79'],['SEM-VI:7.71'],['SEM-VII:7.88'],8.41,['CGPI:7.52'],536.0
"UNIVERSITY OF MUMBAI 
",9,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181035,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,17,20,16,63,23,18,20,39,20,20,17,35,20,21,20,21,--,48,48,['SEM-I:6.56'],['SEM-II:7.41'],['SEM-III:8.11'],['SEM-IV:8.86'],['SEM-V:9.17'],['SEM-VI:8.83'],['SEM-VII:9.08'],8.44,['CGPI:8.31'],545.0
"UNIVERSITY OF MUMBAI 
",9,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181036,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,52,20,20,15,53,19,19,19,43,20,19,17,38,21,23,17,20,--,48,48,['SEM-I:6.26'],['SEM-II:6.85'],['SEM-III:6.50'],['SEM-IV:6.00'],['SEM-V:7.33'],['SEM-VI:7.96'],['SEM-VII:7.64'],8.15,['CGPI:7.09'],554.0
"UNIVERSITY OF MUMBAI 
",10,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181037,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,64,20,21,20,65,20,23,20,66,22,21,20,58,22,24,20,20,--,49,49,['SEM-I:7.52'],['SEM-II:8.78'],['SEM-III:9.36'],['SEM-IV:9.07'],['SEM-V:9.75'],['SEM-VI:9.79'],['SEM-VII:10.00;'],9.85,['CGPI:9.27'],591.0
"UNIVERSITY OF MUMBAI 
",10,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181038,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,56,24,23,20,62,22,22,20,46,24,24,20,42,24,22,20,24,--,49,49,['SEM-I:6.35'],['SEM-II:7.13'],['SEM-III:6.79'],['SEM-IV:7.46'],['SEM-V:8.25'],['SEM-VI:8.92'],['SEM-VII:8.72'],8.96,['CGPI:7.82'],600.0
"UNIVERSITY OF MUMBAI 
",10,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181039,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,63,18,20,12,45,19,18,19,34,20,21,13,44,20,20,14,20,--,45,45,['SEM-I:6.56'],['SEM-II:7.30'],['SEM-III:6.96'],['SEM-IV:6.68'],['SEM-V:7.00'],['SEM-VI:6.75'],['SEM-VII:7.48'],7.96,['CGPI:7.09'],609.0
"UNIVERSITY OF MUMBAI 
",10,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181040,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,42,20,19,18,59,18,16,20,55,23,20,16,50,20,20,18,22,--,45,45,[],[],['SEM-III:6.68'],['SEM-IV:7.29'],['SEM-V:8.92'],['SEM-VI:6.96'],['SEM-VII:8.08'],8.52,['CGPI:7.74'],618.0
"UNIVERSITY OF MUMBAI 
",11,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181041,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,61,21,20,16,64,18,20,18,40,24,24,20,52,22,24,17,21,--,46,46,[],[],['SEM-III:6.04'],['SEM-IV:7.18'],['SEM-V:7.58'],['SEM-VI:8.50'],['SEM-VII:8.20'],8.93,['CGPI:7.74'],655.0
"UNIVERSITY OF MUMBAI 
",11,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181042,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,67,16,20,19,56,17,17,18,62,18,17,19,47,14,21,17,22,--,38,36,[],[],['SEM-III:7.39'],['SEM-IV:8.36'],['SEM-V:9.25'],['SEM-VI:9.04'],['SEM-VII:8.60'],8.48,['CGPI:8.52'],664.0
"UNIVERSITY OF MUMBAI 
",11,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181043,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,64,19,21,19,64,19,20,20,50,23,23,17,53,20,20,17,20,--,48,48,['SEM-I:6.41'],['SEM-II:7.44'],['SEM-III:7.21'],['SEM-IV:7.82'],['SEM-V:8.79'],['SEM-VI:8.96'],['SEM-VII:9.48'],9.22,['CGPI:8.17'],673.0
"UNIVERSITY OF MUMBAI 
",11,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181044,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,50,23,21,14,64,23,18,18,51,23,22,19,50,23,21,19,21,--,44,46,['SEM-I:6.37'],['SEM-II:7.11'],['SEM-III:7.07'],['SEM-IV:6.93'],['SEM-V:8.25'],['SEM-VI:8.79'],['SEM-VII:8.72'],8.81,['CGPI:7.76'],682.0
"UNIVERSITY OF MUMBAI 
",12,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181045,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,51,22,24,20,59,22,18,19,42,23,23,20,45,23,24,19,24,--,49,49,['SEM-I:9.22'],['SEM-II:8.96'],['SEM-III:9.89'],['SEM-IV:9.50'],['SEM-V:10.00;'],['SEM-VI:9.42'],['SEM-VII:9.36'],8.67,['CGPI:9.38'],719.0
"UNIVERSITY OF MUMBAI 
",12,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181046,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,51,21,22,20,60,17,22,20,61,24,24,17,45,23,24,18,20,--,45,47,[],[],['SEM-III:8.26'],['SEM-IV:9.43'],['SEM-V:9.92'],['SEM-VI:9.38'],['SEM-VII:9.32'],9.07,['CGPI:9.23'],728.0
"UNIVERSITY OF MUMBAI 
",12,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181047,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,61,21,23,19,59,19,22,20,57,23,21,20,35,23,24,19,19,--,42,40,[],[],['SEM-III:8.46'],['SEM-IV:9.71'],['SEM-V:9.67'],['SEM-VI:10.00;'],['SEM-VII:9.56'],9.07,['CGPI:9.41'],737.0
"UNIVERSITY OF MUMBAI 
",12,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181048,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,48,17,20,18,64,18,18,20,47,15,19,19,55,21,22,18,20,--,48,48,['SEM-I:7.07'],['SEM-II:6.74'],['SEM-III:7.64'],['SEM-IV:9.32'],['SEM-V:9.21'],['SEM-VI:9.21'],['SEM-VII:8.56'],8.56,['CGPI:8.29'],746.0
"UNIVERSITY OF MUMBAI 
",13,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181049,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,52,21,20,20,61,17,19,19,42,22,22,19,53,20,22,18,22,--,48,47,[],[],['SEM-III:7.54'],['SEM-IV:9.04'],['SEM-V:9.33'],['SEM-VI:8.50'],['SEM-VII:8.12'],8.89,['CGPI:8.57'],783.0
"UNIVERSITY OF MUMBAI 
",13,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181050,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,59,16,19,19,54,12,14,20,42,14,17,17,36,12,21,17,20,--,46,47,['SEM-I:5.89'],['SEM-II:5.89'],['SEM-III:6.11'],['SEM-IV:5.86'],['SEM-V:6.75'],['SEM-VI:7.75'],['SEM-VII:6.96'],7.93,['CGPI:6.64'],792.0
