,department,college_code,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
0,ELECTRICAL ENGINEERING,124:MGMCET,47280001,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,21.0,0.0,19.0,49.0,21.0,19.0,63.0,21.0,0.0,17.0,66.0,22.0,18.0,['Diploma'],['Diploma'],8.11,7.57,7.04,8.5,8.41,9.08,8.12
8,ELECTRICAL ENGINEERING,124:MGMCET,47280009,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,20.0,0.0,15.0,32.0,17.0,13.0,51.0,18.0,0.0,17.0,37.0,20.0,15.0,['Diploma'],['Diploma'],5.81,6.61,6.12,6.43,6.19,7.23,6.4
9,ELECTRICAL ENGINEERING,124:MGMCET,47280010,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,18.0,0.0,15.0,42.0,18.0,17.0,38.0,17.0,0.0,15.0,33.0,19.0,14.0,['Diploma'],['Diploma'],5.96,5.57,6.5,6.18,6.74,7.0,6.33
14,ELECTRICAL ENGINEERING,124:MGMCET,47280015,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,45.0,18.0,0.0,15.0,37.0,20.0,15.0,43.0,18.0,0.0,17.0,42.0,23.0,18.0,['Diploma'],['Diploma'],7.11,6.71,6.31,6.32,6.81,7.62,6.81
16,ELECTRICAL ENGINEERING,124:MGMCET,47280017,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,18.0,0.0,15.0,47.0,21.0,8.0,52.0,21.0,0.0,17.0,50.0,23.0,19.0,['Diploma'],['Diploma'],7.93,7.89,8.02,8.0,8.11,7.92,7.98
18,ELECTRICAL ENGINEERING,124:MGMCET,47280019,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,43.0,19.0,0.0,15.0,34.0,18.0,15.0,49.0,18.0,0.0,13.0,37.0,21.0,18.0,['Diploma'],['Diploma'],7.15,6.39,6.23,5.32,6.7,7.35,6.52
19,ELECTRICAL ENGINEERING,124:MGMCET,47280020,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,45.0,14.0,0.0,14.0,39.0,20.0,16.0,58.0,20.0,0.0,16.0,45.0,23.0,19.0,['Diploma'],['Diploma'],7.3,7.04,7.35,7.46,7.67,7.85,7.45
20,ELECTRICAL ENGINEERING,124:MGMCET,47280021,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,35.0,16.0,0.0,15.0,48.0,22.0,14.0,53.0,22.0,0.0,18.0,59.0,23.0,19.0,['Diploma'],['Diploma'],7.74,7.75,8.5,8.25,7.7,8.35,8.05
22,ELECTRICAL ENGINEERING,124:MGMCET,47280023,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,19.0,0.0,17.0,34.0,21.0,11.0,50.0,22.0,0.0,16.0,41.0,21.0,16.0,['Diploma'],['Diploma'],7.89,7.18,7.81,7.21,7.67,7.65,7.57
27,ELECTRICAL ENGINEERING,124:MGMCET,47280028,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,52.0,20.0,0.0,18.0,50.0,24.0,20.0,44.0,23.0,0.0,18.0,43.0,23.0,18.0,['Diploma'],['Diploma'],7.3,7.18,8.62,7.61,8.41,8.46,7.93
29,ELECTRICAL ENGINEERING,124:MGMCET,47280030,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,60.0,17.0,0.0,14.0,44.0,19.0,14.0,47.0,18.0,0.0,18.0,43.0,21.0,17.0,['Diploma'],['Diploma'],6.63,6.68,6.62,6.64,7.3,7.69,6.93
30,ELECTRICAL ENGINEERING,124:MGMCET,47280031,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,17.0,0.0,15.0,38.0,19.0,16.0,60.0,19.0,0.0,15.0,32.0,21.0,17.0,['Diploma'],['Diploma'],6.22,5.93,6.08,6.46,6.85,7.81,6.56
33,ELECTRICAL ENGINEERING,124:MGMCET,47280034,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,19.0,0.0,16.0,62.0,23.0,16.0,54.0,22.0,0.0,18.0,50.0,23.0,19.0,['Diploma'],['Diploma'],6.52,6.82,6.65,6.57,7.41,8.58,7.09
36,ELECTRICAL ENGINEERING,124:MGMCET,47280037,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,38.0,20.0,0.0,16.0,34.0,20.0,11.0,47.0,19.0,0.0,17.0,50.0,22.0,18.0,['Diploma'],['Diploma'],7.19,6.18,6.77,7.14,7.67,7.65,7.1
38,ELECTRICAL ENGINEERING,124:MGMCET,47280039,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,52.0,10.0,0.0,16.0,39.0,20.0,16.0,57.0,20.0,0.0,16.0,54.0,22.0,18.0,['Diploma'],['Diploma'],6.89,7.04,6.65,6.75,7.44,8.08,7.14
43,ELECTRICAL ENGINEERING,124:MGMCET,47280044,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,39.0,17.0,0.0,13.0,44.0,19.0,13.0,39.0,19.0,0.0,14.0,35.0,19.0,15.0,['Diploma'],['Diploma'],6.7,6.29,6.81,7.71,7.44,6.58,6.92
44,ELECTRICAL ENGINEERING,124:MGMCET,47280045,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,37.0,13.0,0.0,14.0,45.0,18.0,10.0,35.0,19.0,0.0,17.0,40.0,20.0,16.0,['Diploma'],['Diploma'],7.3,6.79,6.5,6.43,6.74,7.04,6.8
45,ELECTRICAL ENGINEERING,124:MGMCET,47280046,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,16.0,0.0,15.0,34.0,20.0,12.0,56.0,19.0,0.0,14.0,37.0,21.0,17.0,['Diploma'],['Diploma'],7.41,7.0,7.08,6.96,7.04,7.69,7.2
48,ELECTRICAL ENGINEERING,124:MGMCET,47280049,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,17.0,0.0,17.0,38.0,20.0,14.0,53.0,20.0,0.0,18.0,55.0,22.0,18.0,['Diploma'],['Diploma'],7.44,7.21,7.46,6.96,7.26,8.19,7.42
49,ELECTRICAL ENGINEERING,124:MGMCET,47280050,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,57.0,20.0,0.0,14.0,34.0,21.0,12.0,44.0,20.0,0.0,14.0,38.0,21.0,17.0,['Diploma'],['Diploma'],6.15,6.64,6.81,6.29,7.59,7.69,6.86
51,ELECTRICAL ENGINEERING,124:MGMCET,47280052,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,50.0,23.0,0.0,18.0,46.0,22.0,17.0,46.0,23.0,0.0,16.0,59.0,24.0,19.0,['Diploma'],['Diploma'],8.93,8.71,8.69,8.46,8.0,8.46,8.54
55,ELECTRICAL ENGINEERING,124:MGMCET,47280056,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,19.0,0.0,13.0,37.0,17.0,17.0,44.0,19.0,0.0,13.0,45.0,20.0,16.0,['Diploma'],['Diploma'],6.26,5.68,6.73,6.21,7.3,7.54,6.62
57,ELECTRICAL ENGINEERING,124:MGMCET,47280058,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,61.0,17.0,0.0,14.0,37.0,20.0,9.0,49.0,20.0,0.0,14.0,44.0,21.0,17.0,['Diploma'],['Diploma'],6.22,6.11,6.62,6.46,6.19,8.0,6.6
58,ELECTRICAL ENGINEERING,124:MGMCET,47280059,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,40.0,14.0,0.0,15.0,44.0,19.0,12.0,41.0,20.0,0.0,17.0,37.0,21.0,16.0,['Diploma'],['Diploma'],6.22,6.39,6.04,6.29,6.52,7.35,6.47
59,ELECTRICAL ENGINEERING,124:MGMCET,47280060,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,15.0,0.0,16.0,32.0,19.0,14.0,42.0,19.0,0.0,15.0,32.0,22.0,18.0,['Diploma'],['Diploma'],5.93,6.04,7.12,6.79,7.07,7.35,6.72
61,ELECTRICAL ENGINEERING,124:MGMCET,47280062,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,51.0,19.0,0.0,14.0,44.0,22.0,17.0,58.0,22.0,0.0,18.0,52.0,23.0,18.0,['Diploma'],['Diploma'],7.93,8.04,8.5,8.68,8.44,8.58,8.36
63,ELECTRICAL ENGINEERING,124:MGMCET,47280064,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,16.0,0.0,14.0,32.0,18.0,13.0,51.0,20.0,0.0,16.0,43.0,22.0,17.0,['Diploma'],['Diploma'],7.19,6.54,7.0,7.25,7.07,7.65,7.12
64,ELECTRICAL ENGINEERING,124:MGMCET,47280065,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,14.0,0.0,15.0,35.0,18.0,14.0,44.0,18.0,0.0,13.0,33.0,20.0,14.0,['Diploma'],['Diploma'],5.56,5.54,5.58,5.18,5.7,6.77,5.72
65,ELECTRICAL ENGINEERING,124:MGMCET,47280066,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,12.0,0.0,12.0,46.0,19.0,7.0,46.0,18.0,0.0,16.0,39.0,18.0,13.0,['Diploma'],['Diploma'],6.11,5.43,5.88,5.25,5.79,7.31,5.96
66,ELECTRICAL ENGINEERING,124:MGMCET,47280067,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,41.0,16.0,0.0,14.0,41.0,20.0,13.0,44.0,20.0,0.0,16.0,32.0,22.0,18.0,['Diploma'],['Diploma'],6.63,7.36,6.69,5.64,6.7,7.58,6.77
67,ELECTRICAL ENGINEERING,124:MGMCET,47280068,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,57.0,23.0,0.0,18.0,58.0,24.0,16.0,51.0,23.0,0.0,15.0,52.0,24.0,20.0,['Diploma'],['Diploma'],8.81,8.86,8.96,9.54,9.0,8.77,8.99
68,ELECTRICAL ENGINEERING,124:MGMCET,47280069,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,19.0,0.0,15.0,37.0,21.0,13.0,44.0,21.0,0.0,16.0,40.0,20.0,16.0,['Diploma'],['Diploma'],6.41,6.54,6.54,5.71,7.26,7.5,6.66
73,ELECTRICAL ENGINEERING,124:MGMCET,47280074,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,57.0,20.0,0.0,16.0,47.0,21.0,15.0,48.0,22.0,0.0,17.0,44.0,23.0,18.0,['Diploma'],['Diploma'],7.74,8.57,7.77,8.46,8.26,8.31,8.19
76,ELECTRICAL ENGINEERING,385:ACPCE,47280077,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,19.0,0.0,12.0,32.0,20.0,8.0,47.0,20.0,0.0,9.0,40.0,15.0,8.0,['Diploma'],['Diploma'],5.3,5.54,6.04,5.64,6.59,6.62,5.96
77,ELECTRICAL ENGINEERING,385:ACPCE,47280078,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,39.0,21.0,0.0,15.0,43.0,19.0,12.0,49.0,20.0,0.0,15.0,54.0,20.0,17.0,['Diploma'],['Diploma'],8.89,8.43,8.54,8.75,7.59,7.92,8.35
79,ELECTRICAL ENGINEERING,385:ACPCE,47280080,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,19.0,0.0,16.0,41.0,17.0,8.0,52.0,16.0,0.0,8.0,37.0,16.0,8.0,['Diploma'],['Diploma'],7.0,6.93,5.81,5.5,5.63,6.38,6.21
83,ELECTRICAL ENGINEERING,385:ACPCE,47280084,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,22.0,0.0,15.0,57.0,20.0,12.0,40.0,20.0,0.0,14.0,43.0,21.0,15.0,['Diploma'],['Diploma'],6.15,5.43,5.96,5.61,6.3,7.12,6.1
89,ELECTRICAL ENGINEERING,385:ACPCE,47280090,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,44.0,21.0,0.0,15.0,33.0,19.0,10.0,38.0,21.0,0.0,8.0,36.0,19.0,12.0,['Diploma'],['Diploma'],6.07,6.04,6.0,5.46,6.33,6.81,6.12
94,ELECTRICAL ENGINEERING,385:ACPCE,47280095,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,42.0,23.0,0.0,20.0,34.0,17.0,14.0,54.0,22.0,0.0,15.0,32.0,21.0,13.0,['Diploma'],['Diploma'],6.93,6.43,7.0,7.46,7.41,7.46,7.12
95,ELECTRICAL ENGINEERING,385:ACPCE,47280096,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,35.0,20.0,0.0,17.0,53.0,16.0,12.0,49.0,18.0,0.0,16.0,55.0,19.0,15.0,['Diploma'],['Diploma'],6.48,7.18,6.92,6.82,7.33,7.96,7.12
97,ELECTRICAL ENGINEERING,385:ACPCE,47280098,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,19.0,0.0,14.0,38.0,19.0,10.0,49.0,21.0,0.0,14.0,56.0,17.0,13.0,['Diploma'],['Diploma'],6.15,5.96,5.77,6.21,7.22,7.65,6.49
98,ELECTRICAL ENGINEERING,385:ACPCE,47280099,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,52.0,21.0,0.0,17.0,53.0,19.0,14.0,58.0,21.0,0.0,12.0,38.0,19.0,13.0,['Diploma'],['Diploma'],5.67,5.79,6.58,5.82,7.26,8.04,6.53
103,ELECTRICAL ENGINEERING,385:ACPCE,47280104,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,23.0,0.0,19.0,44.0,21.0,17.0,65.0,22.0,0.0,16.0,57.0,21.0,19.0,['Diploma'],['Diploma'],8.52,7.79,8.81,8.79,7.96,8.92,8.47
105,ELECTRICAL ENGINEERING,385:ACPCE,47280106,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,50.0,24.0,0.0,20.0,44.0,22.0,18.0,50.0,24.0,0.0,19.0,41.0,23.0,16.0,['Diploma'],['Diploma'],9.93,9.61,9.73,9.54,9.0,8.15,9.33
107,ELECTRICAL ENGINEERING,385:ACPCE,47280108,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,20.0,0.0,15.0,34.0,19.0,12.0,59.0,20.0,0.0,12.0,43.0,18.0,12.0,['Diploma'],['Diploma'],6.81,5.75,6.58,5.96,7.37,7.73,6.7
108,ELECTRICAL ENGINEERING,385:ACPCE,47280109,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,21.0,0.0,13.0,38.0,18.0,14.0,52.0,21.0,0.0,12.0,32.0,18.0,14.0,['Diploma'],['Diploma'],6.19,5.21,7.04,6.07,7.44,7.38,6.56
109,ELECTRICAL ENGINEERING,385:ACPCE,47280110,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,20.0,0.0,16.0,35.0,17.0,14.0,39.0,20.0,0.0,10.0,51.0,14.0,13.0,['Diploma'],['Diploma'],7.81,6.89,7.08,5.93,7.74,7.27,7.12
110,ELECTRICAL ENGINEERING,385:ACPCE,47280111,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,56.0,21.0,0.0,19.0,55.0,22.0,15.0,60.0,23.0,0.0,15.0,49.0,20.0,15.0,['Diploma'],['Diploma'],7.56,7.93,8.73,8.21,8.04,8.92,8.23
119,ELECTRICAL ENGINEERING,385:ACPCE,47280120,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,50.0,20.0,0.0,16.0,47.0,20.0,13.0,66.0,22.0,0.0,13.0,40.0,22.0,14.0,['Diploma'],['Diploma'],6.07,6.0,6.65,6.32,7.85,8.23,6.85
124,ELECTRICAL ENGINEERING,385:ACPCE,47280125,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,39.0,19.0,0.0,18.0,32.0,18.0,8.0,47.0,20.0,0.0,11.0,32.0,19.0,15.0,['Diploma'],['Diploma'],6.04,5.86,5.65,5.75,6.7,6.92,6.15
125,ELECTRICAL ENGINEERING,385:ACPCE,47280126,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,34.0,19.0,0.0,12.0,43.0,15.0,13.0,38.0,18.0,0.0,11.0,41.0,19.0,13.0,['Diploma'],['Diploma'],5.7,5.14,5.73,5.61,6.52,6.5,5.87
127,ELECTRICAL ENGINEERING,385:ACPCE,47280128,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,53.0,18.0,0.0,12.0,36.0,14.0,10.0,48.0,17.0,0.0,8.0,33.0,15.0,13.0,['Diploma'],['Diploma'],6.67,6.18,5.81,6.04,6.41,6.73,6.31
128,ELECTRICAL ENGINEERING,385:ACPCE,47280129,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,22.0,0.0,14.0,39.0,21.0,11.0,56.0,21.0,0.0,12.0,34.0,22.0,15.0,['Diploma'],['Diploma'],5.78,6.75,7.15,6.71,7.0,7.38,6.8
130,ELECTRICAL ENGINEERING,385:ACPCE,47280131,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,38.0,19.0,0.0,18.0,54.0,20.0,15.0,60.0,20.0,0.0,13.0,45.0,15.0,14.0,['Diploma'],['Diploma'],6.85,6.0,6.15,7.43,7.81,7.77,7.0
131,ELECTRICAL ENGINEERING,385:ACPCE,47280132,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,45.0,20.0,0.0,19.0,69.0,20.0,15.0,57.0,22.0,0.0,15.0,51.0,20.0,18.0,['Diploma'],['Diploma'],6.78,7.11,9.27,8.79,8.33,8.69,8.16
136,ELECTRICAL ENGINEERING,385:ACPCE,47280137,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,33.0,22.0,0.0,15.0,45.0,21.0,17.0,47.0,22.0,0.0,16.0,37.0,23.0,14.0,['Diploma'],['Diploma'],7.33,6.79,6.85,7.07,7.44,7.69,7.2
144,ELECTRICAL ENGINEERING,385:ACPCE,47280145,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,50.0,22.0,0.0,17.0,44.0,21.0,14.0,49.0,23.0,0.0,14.0,49.0,18.0,16.0,['Diploma'],['Diploma'],6.85,7.39,7.81,7.36,7.56,7.92,7.48
145,ELECTRICAL ENGINEERING,385:ACPCE,47280146,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,23.0,0.0,15.0,33.0,20.0,15.0,53.0,21.0,0.0,13.0,51.0,21.0,12.0,['Diploma'],['Diploma'],6.22,5.75,6.15,5.96,7.22,7.85,6.53
151,ELECTRICAL ENGINEERING,385:ACPCE,47280152,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,34.0,21.0,0.0,17.0,53.0,20.0,14.0,51.0,20.0,0.0,17.0,55.0,21.0,18.0,['Diploma'],['Diploma'],7.33,7.32,7.65,8.07,8.3,8.15,7.8
153,ELECTRICAL ENGINEERING,385:ACPCE,47280154,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,43.0,21.0,0.0,12.0,52.0,18.0,14.0,47.0,20.0,0.0,14.0,48.0,21.0,14.0,['Diploma'],['Diploma'],6.19,5.96,6.65,6.43,7.04,7.77,6.67
154,ELECTRICAL ENGINEERING,385:ACPCE,47280155,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,21.0,0.0,13.0,32.0,18.0,11.0,32.0,18.0,0.0,8.0,37.0,16.0,11.0,['Diploma'],['Diploma'],6.48,6.71,6.23,5.86,6.52,6.35,6.36
157,ELECTRICAL ENGINEERING,385:ACPCE,47280158,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,21.0,0.0,17.0,58.0,20.0,11.0,46.0,22.0,0.0,13.0,43.0,17.0,15.0,['Diploma'],['Diploma'],6.07,6.32,6.35,6.43,7.52,7.65,6.72
158,ELECTRICAL ENGINEERING,385:ACPCE,47280159,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,36.0,21.0,0.0,19.0,46.0,19.0,15.0,56.0,22.0,0.0,14.0,45.0,19.0,15.0,['Diploma'],['Diploma'],6.04,7.14,6.77,7.46,7.56,8.04,7.17
166,ELECTRICAL ENGINEERING,385:ACPCE,47280167,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,20.0,0.0,13.0,62.0,19.0,12.0,34.0,22.0,0.0,9.0,48.0,19.0,14.0,['Diploma'],['Diploma'],5.59,6.0,5.81,6.36,7.56,7.5,6.47
167,ELECTRICAL ENGINEERING,385:ACPCE,47280168,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,20.0,0.0,18.0,41.0,20.0,13.0,49.0,21.0,0.0,10.0,35.0,15.0,10.0,['Diploma'],['Diploma'],6.19,6.46,5.92,6.25,6.48,7.42,6.45
170,ELECTRICAL ENGINEERING,385:ACPCE,47280171,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,20.0,0.0,14.0,37.0,21.0,12.0,40.0,21.0,0.0,10.0,32.0,21.0,10.0,['Diploma'],['Diploma'],7.07,5.93,6.5,5.79,6.37,6.42,6.35
176,ELECTRICAL ENGINEERING,385:ACPCE,47280177,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,52.0,22.0,0.0,18.0,58.0,22.0,18.0,62.0,22.0,0.0,14.0,50.0,19.0,13.0,['Diploma'],['Diploma'],7.19,8.57,7.96,7.0,7.74,8.65,7.85
189,ELECTRICAL ENGINEERING,385:ACPCE,47280190,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,49.0,20.0,0.0,11.0,43.0,20.0,11.0,53.0,21.0,0.0,9.0,40.0,15.0,10.0,['Diploma'],['Diploma'],6.15,5.86,5.85,5.61,6.89,7.23,6.27
190,ELECTRICAL ENGINEERING,385:ACPCE,47280191,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,20.0,0.0,17.0,32.0,22.0,15.0,55.0,22.0,0.0,11.0,52.0,22.0,14.0,['Diploma'],['Diploma'],7.7,7.93,7.42,7.0,7.89,7.54,7.58
192,ELECTRICAL ENGINEERING,385:ACPCE,47280193,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,33.0,21.0,0.0,18.0,40.0,19.0,12.0,50.0,22.0,0.0,16.0,45.0,17.0,14.0,['Diploma'],['Diploma'],9.48,8.21,8.35,7.71,8.04,7.58,8.23
194,ELECTRICAL ENGINEERING,385:ACPCE,47280195,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,39.0,21.0,0.0,17.0,58.0,22.0,17.0,54.0,22.0,0.0,17.0,44.0,21.0,17.0,['Diploma'],['Diploma'],7.41,7.64,8.5,8.54,7.74,8.23,8.01
195,ELECTRICAL ENGINEERING,385:ACPCE,47280196,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,51.0,24.0,0.0,20.0,43.0,21.0,16.0,50.0,24.0,0.0,19.0,59.0,19.0,16.0,['Diploma'],['Diploma'],8.15,8.96,8.96,8.36,8.78,8.42,8.61
196,ELECTRICAL ENGINEERING,385:ACPCE,47280197,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,42.0,20.0,0.0,19.0,36.0,21.0,16.0,57.0,22.0,0.0,16.0,38.0,21.0,18.0,['Diploma'],['Diploma'],8.33,8.04,7.88,7.96,8.0,8.0,8.04
197,ELECTRICAL ENGINEERING,385:ACPCE,47280198,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,20.0,0.0,18.0,45.0,20.0,11.0,49.0,20.0,0.0,15.0,47.0,16.0,15.0,['Diploma'],['Diploma'],9.11,8.57,8.12,7.82,8.0,7.88,8.25
200,ELECTRICAL ENGINEERING,385:ACPCE,47280201,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,42.0,21.0,0.0,16.0,41.0,18.0,12.0,40.0,21.0,0.0,15.0,41.0,18.0,16.0,['Diploma'],['Diploma'],6.74,7.82,6.38,7.32,7.19,7.42,7.15
201,ELECTRICAL ENGINEERING,385:ACPCE,47280202,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,59.0,21.0,0.0,17.0,43.0,22.0,11.0,57.0,22.0,0.0,13.0,42.0,19.0,13.0,['Diploma'],['Diploma'],7.26,7.5,7.54,6.61,7.26,8.27,7.41
202,ELECTRICAL ENGINEERING,385:ACPCE,47280203,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,19.0,0.0,16.0,32.0,15.0,8.0,46.0,18.0,0.0,9.0,35.0,15.0,13.0,['Diploma'],['Diploma'],5.89,6.75,6.73,6.89,6.85,6.35,6.58
203,ELECTRICAL ENGINEERING,385:ACPCE,47280204,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,21.0,0.0,18.0,43.0,20.0,13.0,38.0,22.0,0.0,16.0,52.0,19.0,12.0,['Diploma'],['Diploma'],8.0,8.29,8.38,7.21,8.04,7.62,7.92
206,ELECTRICAL ENGINEERING,385:ACPCE,47280207,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,44.0,21.0,0.0,18.0,39.0,20.0,14.0,57.0,20.0,0.0,16.0,61.0,20.0,17.0,['Diploma'],['Diploma'],7.41,7.39,7.35,7.11,7.93,8.46,7.61
208,ELECTRICAL ENGINEERING,385:ACPCE,47280209,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,39.0,21.0,0.0,16.0,32.0,22.0,13.0,37.0,22.0,0.0,13.0,59.0,22.0,16.0,['Diploma'],['Diploma'],7.56,8.0,7.31,6.43,6.85,7.81,7.33
210,ELECTRICAL ENGINEERING,385:ACPCE,47280211,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,21.0,0.0,17.0,36.0,21.0,15.0,54.0,24.0,0.0,16.0,46.0,19.0,12.0,['Diploma'],['Diploma'],7.44,8.21,8.73,7.75,8.04,7.96,8.02
212,ELECTRICAL ENGINEERING,385:ACPCE,47280213,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,19.0,0.0,16.0,34.0,22.0,12.0,48.0,22.0,0.0,14.0,44.0,20.0,17.0,['Diploma'],['Diploma'],7.78,8.18,7.77,8.11,8.11,7.81,7.96
