college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
421:DJSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10182654,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,74.0,25.0,24.0,19.0,76.0,24.0,20.0,70.0,24.0,23.0,19.0,62.0,55.0,20.0,9.85,9.63,10.0,10.0,10.0,10.0,9.7,9.69,9.48
421:DJSCE,ELECTRONICS ENGINEERING,50280990,EXC8044:BIOMEDICAL,P,EXC801,EXC802,EXC803,ELECTIVEII,76.0,24.0,24.0,19.0,70.0,24.0,20.0,72.0,24.0,24.0,20.0,70.0,25.0,20.0,9.63,9.96,10.0,10.0,10.0,10.0,9.56,10.0,9.57
421:DJSCE,INFORMATION TECHNOLOGY ENGINEERING,51281207,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,67.0,24.0,24.0,20.0,70.0,24.0,20.0,67.0,23.0,23.0,20.0,68.0,24.0,20.0,9.78,9.85,10.0,10.0,10.0,10.0,9.22,10.0,9.66
421:DJSCE,MECHANICAL,53280855,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,69.0,24.0,24.0,17.0,75.0,24.0,20.0,73.0,24.0,24.0,20.0,70.0,50.0,20.0,9.85,10.0,10.0,9.89,10.0,10.0,9.59,9.84,9.66
426:FCRIT,COMPUTER ENGINEERING,45281905,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,74.0,24.0,24.0,20.0,68.0,24.0,19.0,72.0,24.0,24.0,20.0,72.0,24.0,20.0,10.0,10.0,9.86,9.89,9.83,10.0,9.52,9.7,9.75
426:FCRIT,ELECTRICAL ENGINEERING,47280441,EEE802:ELECTRIC,P,EEC801,EEC802,EEC803,ELECTIVEII,64.0,24.0,0.0,20.0,73.0,25.0,20.0,66.0,24.0,0.0,20.0,65.0,24.0,20.0,9.85,10.0,10.0,10.0,10.0,10.0,9.41,9.38,9.68
426:FCRIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10182733,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,72.0,24.0,23.0,19.0,68.0,24.0,20.0,66.0,24.0,24.0,20.0,63.0,24.0,20.0,9.85,9.41,10.0,10.0,10.0,9.86,9.7,9.85,9.6
426:FCRIT,INFORMATION TECHNOLOGY ENGINEERING,51281278,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,69.0,24.0,24.0,20.0,76.0,25.0,19.0,67.0,60.0,24.0,19.0,74.0,59.0,20.0,9.56,9.56,10.0,10.0,10.0,9.84,9.37,10.0,9.48
426:FCRIT,MECHANICAL,53280929,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,74.0,23.0,23.0,20.0,69.0,42.0,20.0,74.0,40.0,24.0,20.0,74.0,49.0,20.0,9.93,10.0,10.0,10.0,10.0,9.89,9.48,9.8,9.78
428:DMCE,CIVIL,43280468,CEE8049:PAVEMENT,P,CEC801,CEC802,CEC803,ELECTIVEII,65.0,24.0,24.0,20.0,68.0,48.0,20.0,72.0,54.0,24.0,20.0,74.0,61.0,20.0,9.44,9.59,9.96,9.38,9.76,9.86,9.7,10.0,9.62
428:DMCE,COMPUTER ENGINEERING,45282053,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,68.0,24.0,24.0,20.0,72.0,24.0,20.0,74.0,25.0,24.0,20.0,70.0,25.0,20.0,9.85,9.78,9.86,9.75,9.71,10.0,9.68,9.7,9.24
428:DMCE,ELECTRONICS ENGINEERING,50281098,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,75.0,24.0,24.0,20.0,76.0,25.0,20.0,72.0,24.0,24.0,19.0,70.0,42.0,20.0,9.22,9.22,9.69,9.14,9.57,10.0,9.41,9.83,9.27
428:DMCE,INFORMATION TECHNOLOGY ENGINEERING,51281404,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,68.0,24.0,23.0,20.0,70.0,24.0,19.0,62.0,25.0,24.0,20.0,65.0,24.0,18.0,9.41,9.22,9.75,9.79,9.54,9.36,8.93,9.08,9.23
428:DMCE,MECHANICAL,53281066,MEE8029:ENTERPRISE,P,MEC801,MEC802,MEC803,ELECTIVEII,64.0,24.0,24.0,20.0,64.0,25.0,20.0,67.0,24.0,24.0,20.0,67.0,24.0,20.0,9.93,9.74,9.92,10.0,10.0,9.79,9.85,9.56,9.46
438:KGSCE,COMPUTER ENGINEERING,45282119,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,74.0,24.0,24.0,20.0,69.0,24.0,20.0,72.0,24.0,24.0,18.0,67.0,24.0,20.0,9.41,9.3,8.11,9.79,9.5,10.0,9.84,9.56,9.2
438:KGSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10182776,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,71.0,22.0,22.0,17.0,67.0,23.0,18.0,63.0,23.0,22.0,18.0,62.0,22.0,13.0,7.98,8.19,8.15,9.39,8.93,8.5,8.7,8.92,8.44
438:KGSCE,INFORMATION TECHNOLOGY ENGINEERING,51281475,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,67.0,23.0,23.0,20.0,65.0,24.0,19.0,64.0,41.0,23.0,21.0,62.0,39.0,20.0,8.15,7.7,8.29,9.0,8.65,9.6,8.85,9.38,8.33
438:KGSCE,INSTRUMENTATION ENGINEERING,52280470,ISE8041:NUCLEAR,P,ISC801,ISC802,ISC803,ELECTIVEII,62.0,24.0,24.0,19.0,66.0,24.0,20.0,66.0,24.0,24.0,20.0,67.0,24.0,20.0,8.0,8.89,8.52,8.67,8.57,8.89,8.71,9.69,8.48
