college_code,department,Unnamed: 0,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
10:MHSSCE,AUTOMOBILE ENGINEERING,1532.090909090909,39280041.09090909,51.81818181818182,16.09090909090909,17.727272727272727,11.727272727272727,50.18181818181818,18.454545454545453,9.363636363636363,50.63636363636363,17.272727272727273,16.454545454545453,12.272727272727273,42.54545454545455,16.545454545454547,10.454545454545455,6.197272727272727,5.911818181818182,5.790909090909091,5.5154545454545465,6.660909090909092,7.487272727272727,6.260909090909092
10:MHSSCE,CIVIL,23348.0,24730544.0,47.916666666666664,18.583333333333332,19.416666666666668,14.791666666666666,52.208333333333336,22.333333333333332,16.625,55.625,21.125,20.125,15.458333333333334,54.416666666666664,21.0,15.208333333333334,7.567916666666668,7.93875,7.970833333333334,8.340416666666668,8.325416666666664,8.293333333333331,8.073333333333332
10:MHSSCE,COMPUTER ENGINEERING,35764.525,16705781.525,56.875,19.925,19.95,18.35,58.4,17.425,18.525,48.725,22.375,21.35,18.25,50.325,20.8,17.575,7.264500000000001,8.418250000000002,8.877999999999998,8.97975,8.462,8.777249999999999,8.463750000000001
10:MHSSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,28271.82608695652,10181041.826086957,51.34782608695652,17.782608695652176,18.434782608695652,15.173913043478262,52.52173913043478,18.91304347826087,12.869565217391305,48.391304347826086,20.782608695652176,19.26086956521739,12.217391304347826,47.17391304347826,19.52173913043478,12.391304347826088,6.593478260869563,6.326086956521739,7.6786956521739125,7.10695652173913,6.877391304347826,7.855652173913044,7.073913043478262
10:MHSSCE,ELECTRONICS ENGINEERING,37932.42857142857,22352174.214285713,39.32142857142857,16.75,16.857142857142858,14.0,43.82142857142857,20.107142857142858,11.428571428571429,42.25,18.035714285714285,17.928571428571427,14.25,46.285714285714285,18.571428571428573,12.857142857142858,5.6225,5.9067857142857125,6.555000000000001,6.211428571428569,6.515,6.942142857142858,6.292500000000002
10:MHSSCE,INFORMATION TECHNOLOGY ENGINEERING,38991.55172413793,37797621.48275862,51.03448275862069,20.79310344827586,22.103448275862068,17.379310344827587,48.241379310344826,20.724137931034484,16.20689655172414,46.03448275862069,22.79310344827586,22.448275862068964,18.06896551724138,50.206896551724135,22.137931034482758,16.75862068965517,6.907241379310345,7.274827586206898,7.624827586206896,7.79310344827586,7.905862068965517,8.343103448275862,7.641724137931034
10:MHSSCE,MECHANICAL,8799.130434782608,32880559.04347826,51.26086956521739,18.347826086956523,18.956521739130434,13.130434782608695,50.0,19.956521739130434,17.782608695652176,55.56521739130435,19.391304347826086,22.17391304347826,16.217391304347824,52.130434782608695,19.608695652173914,15.217391304347826,8.94695652173913,8.570434782608697,8.298260869565217,8.26391304347826,8.205217391304346,8.379130434782608,8.445217391304348
116:CSM INST,CIVIL,32585.735849056604,9681030.830188679,38.264150943396224,19.9811320754717,22.49056603773585,12.30188679245283,44.15094339622642,22.62264150943396,11.735849056603774,44.24528301886792,22.169811320754718,22.660377358490567,12.660377358490566,46.301886792452834,22.735849056603772,12.69811320754717,5.8622641509433935,5.764150943396225,6.489056603773584,6.50245283018868,7.14547169811321,7.431320754716982,6.53301886792453
116:CSM INST,COMPUTER ENGINEERING,34783.11111111111,7181865.444444444,44.77777777777778,21.11111111111111,20.77777777777778,12.555555555555555,47.0,21.666666666666668,15.444444444444445,35.333333333333336,21.88888888888889,23.0,13.88888888888889,40.22222222222222,21.555555555555557,9.777777777777779,5.3933333333333335,5.402222222222222,6.005555555555556,6.811111111111111,7.235555555555556,7.41,6.375555555555555
116:CSM INST,MECHANICAL,11949.20792079208,24246382.851485148,41.742574257425744,21.524752475247524,21.03960396039604,11.970297029702971,43.554455445544555,20.861386138613863,13.693069306930694,44.98019801980198,21.584158415841586,21.554455445544555,11.653465346534654,47.21782178217822,21.89108910891089,13.801980198019802,6.26217821782178,5.873861386138612,5.942376237623763,6.369207920792081,6.894554455445549,7.717227722772279,6.510495049504949
124:MGMCET,CIVIL,22973.904761904763,25614016.85714286,45.38095238095238,18.650793650793652,17.523809523809526,13.34920634920635,51.06349206349206,17.571428571428573,14.88888888888889,51.142857142857146,20.3015873015873,19.6984126984127,14.063492063492063,52.03174603174603,17.428571428571427,13.317460317460318,6.28968253968254,6.5417460317460305,6.441269841269843,6.3960317460317455,7.316984126984128,7.579523809523809,6.761111111111113
124:MGMCET,COMPUTER ENGINEERING,36379.88888888889,21695184.46031746,50.95238095238095,17.53968253968254,18.515873015873016,14.365079365079366,52.714285714285715,16.325396825396826,14.753968253968255,45.79365079365079,17.404761904761905,17.865079365079364,12.579365079365079,44.94444444444444,17.76984126984127,13.142857142857142,5.2550000000000034,5.2634126984127025,5.916031746031748,6.160793650793649,6.976190476190476,7.522460317460317,6.1826984126984135
124:MGMCET,ELECTRICAL ENGINEERING,45547.23602484472,32223506.322981365,46.91925465838509,18.024844720496894,0.0,15.391304347826088,42.77018633540373,19.683229813664596,13.832298136645962,49.81987577639752,19.763975155279503,0.0,15.608695652173912,46.18012422360248,20.695652173913043,16.559006211180126,6.894968944099382,6.627080745341616,7.004658385093168,6.945031055900623,7.1953416149068365,7.817639751552793,7.081614906832303
124:MGMCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,28549.553846153845,10181319.553846154,48.58461538461538,17.307692307692307,19.892307692307693,12.0,47.09230769230769,17.93846153846154,12.307692307692308,43.184615384615384,18.46153846153846,18.153846153846153,13.538461538461538,42.09230769230769,18.03076923076923,13.953846153846154,5.587999999999999,5.343846153846155,5.85876923076923,5.506,6.2690769230769225,7.297538461538464,5.978307692307692
