university,page_no,department,exam_held_on,college_code,result_date,seat_no,elective,result,c1,c2,c3,c4,c5,c6,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_or,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_or,c4_in,c5_tw,c5_or,c6_tw,c6_or,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280001,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,77,23,22,16,50,22,23,15,55,21,23,16,58,23,23,16,45,45,,,['8.74'],['8.33'],['8.96'],['9.41'],['9.54'],['9.32'],['8.39'],8.92,['8.95']
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280002,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,66,22,20,15,59,19,20,15,53,18,18,16,50,21,21,14,41,48,,,['6.15'],['6.48'],['7.74'],['7.78'],['7.29'],['8.39'],['8.21'],8.65,['7.59']
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280003,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,63,24,20,16,57,22,24,14,51,18,20,16,47,22,23,16,44,47,,,['5.44'],['7.00'],['8.11'],['7.26'],['7.93'],['9.36'],['8.54'],8.58,['7.78']
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280004,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,20,14,10,46,16,18,12,45,20,14,12,41,17,17,10,38,40,,,['5.07'],['5.76'],['5.48'],['5.30'],['5.36'],['0.00'],['6.07'],6.69,['--']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280005,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,59,24,22,18,56,21,21,16,61,23,24,20,52,23,20,19,41,48,,,['7.89'],['7.57'],['9.26'],['8.52'],['8.50'],['9.00'],['9.04'],9.23,['8.63']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280006,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,41,18,17,13,53,20,18,13,50,18,19,10,50,21,20,13,42,42,,,['5.61'],['6.46'],['5.81'],['5.96'],['7.32'],['7.29'],['7.29'],7.81,['6.69']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280007,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,38,18,10,13,52,21,18,11,40,19,20,11,41,17,19,10,39,42,,,['Diploma'],['Diploma'],['6.78'],['6.70'],['6.93'],['6.75'],['6.11'],7.38,['6.78']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280008,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,16,14,10,42,16,15,8,41,16,14,8,47,17,17,10,38,38,,,['Diploma'],['Diploma'],['5.70'],['5.81'],['6.18'],['5.50'],['5.86'],6.85,['5.98']
"UNIVERSITY OF MUMBAI 
",3,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280009,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,45,23,21,10,42,21,18,10,57,18,17,9,53,21,21,9,41,40,,,['Diploma'],['Diploma'],['7.04'],['6.26'],['6.86'],['6.89'],['7.46'],7.73,['7.04']
"UNIVERSITY OF MUMBAI 
",3,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280010,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,57,24,24,13,47,23,24,17,65,21,22,18,57,23,21,18,43,48,,,['7.22'],['7.81'],['8.22'],['8.11'],['7.18'],['8.46'],['8.64'],9.08,['8.09']
"UNIVERSITY OF MUMBAI 
",3,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280011,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,36,19,12,10,42,21,18,10,35,19,18,12,44,22,21,12,39,42,,,['5.89'],['5.41'],['5.48'],['5.44'],['5.43'],['5.50'],['6.36'],7.00,['5.81']
"UNIVERSITY OF MUMBAI 
",3,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280012,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,19,20,15,57,22,23,16,52,22,18,20,46,23,23,16,39,48,,,['Diploma'],['Diploma'],['8.22'],['7.89'],['8.61'],['8.50'],['8.86'],8.42,['8.42']
"UNIVERSITY OF MUMBAI 
",4,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280013,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,41,21,18,9,68,21,18,11,44,19,18,13,34,20,16,9,41,47,,,['6.04'],['6.15'],['5.89'],['5.56'],['5.57'],['5.86'],['6.96'],7.46,['6.19']
"UNIVERSITY OF MUMBAI 
",4,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280014,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,34,20,18,11,37,18,19,12,49,21,20,13,46,21,17,11,41,44,,,['Diploma'],['Diploma'],['6.67'],['6.70'],['6.50'],['6.79'],['6.71'],7.23,['6.77']
"UNIVERSITY OF MUMBAI 
",4,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280015,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,55,18,19,15,33,21,18,11,50,16,20,11,35,20,20,11,43,47,,,['4.66'],['4.32'],['4.81'],['6.04'],['5.43'],['5.43'],['6.82'],7.35,['5.61']
"UNIVERSITY OF MUMBAI 
",4,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280016,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,62,18,14,15,55,22,20,14,43,20,19,13,47,20,17,9,41,40,,,['Diploma'],['Diploma'],['6.96'],['6.52'],['6.25'],['7.21'],['6.54'],7.92,['6.90']
"UNIVERSITY OF MUMBAI 
",5,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280017,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,34,20,15,9,47,19,18,12,65,18,18,12,48,21,20,10,38,42,,,['Diploma'],['Diploma'],['6.00'],['5.37'],['6.11'],['6.18'],['6.96'],7.46,['6.35']
"UNIVERSITY OF MUMBAI 
",5,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280018,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,71,24,24,20,71,22,24,18,66,23,23,20,55,23,23,18,46,48,,,['8.96'],['9.15'],['9.85'],['9.70'],['9.57'],['9.50'],['9.43'],9.69,['9.48']
"UNIVERSITY OF MUMBAI 
",5,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280019,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,46,20,17,9,52,21,20,12,41,20,18,12,46,21,20,10,39,45,,,['5.56'],['5.46'],['6.11'],['5.81'],['5.39'],['6.07'],['6.64'],7.58,['6.08']
"UNIVERSITY OF MUMBAI 
",5,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280020,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,45,22,18,8,50,21,21,10,52,21,18,10,43,20,20,10,40,44,,,['Diploma'],['Diploma'],['6.63'],['6.70'],['6.57'],['7.29'],['7.18'],7.81,['7.03']
"UNIVERSITY OF MUMBAI 
",6,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280021,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,71,19,11,9,60,17,23,12,62,16,18,13,50,19,20,12,41,45,,,['6.22'],['6.22'],['8.11'],['8.33'],['7.79'],['8.11'],['8.04'],8.81,['7.70']
"UNIVERSITY OF MUMBAI 
",6,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280022,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,46,18,14,10,45,18,18,9,53,17,17,10,54,20,20,12,44,47,,,['6.11'],['6.81'],['6.74'],['6.63'],['6.61'],['7.29'],['7.54'],7.54,['6.91']
"UNIVERSITY OF MUMBAI 
",6,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280023,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,34,18,14,8,41,19,17,10,33,18,17,9,43,20,18,11,40,41,,,['5.13'],['4.82'],['4.48'],['4.93'],['5.64'],['0.00'],['6.14'],6.62,['--']
"UNIVERSITY OF MUMBAI 
",6,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280024,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32,23,20,12,65,20,19,16,39,21,22,15,35,21,20,12,39,40,,,['5.37'],['5.76'],['5.78'],['5.89'],['6.11'],['6.18'],['7.11'],7.42,['6.20']
"UNIVERSITY OF MUMBAI 
",7,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280025,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,49,23,17,14,56,21,22,13,56,20,18,16,58,22,20,15,43,45,,,['6.07'],['6.78'],['6.96'],['7.11'],['6.54'],['7.18'],['8.14'],8.42,['7.15']
"UNIVERSITY OF MUMBAI 
",7,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280026,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,19,17,11,60,20,20,16,70,20,18,15,54,21,20,14,41,36,,,['4.61'],['4.84'],['6.48'],['6.11'],['6.36'],['6.86'],['7.50'],8.58,['6.42']
"UNIVERSITY OF MUMBAI 
",7,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280027,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,42,18,17,8,41,19,20,11,34,18,17,10,49,19,17,12,41,44,,,['Diploma'],['Diploma'],['6.04'],['5.11'],['6.25'],['7.25'],['6.54'],7.12,['6.39']
"UNIVERSITY OF MUMBAI 
",7,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280028,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,25,19,18,8,37,21,19,10,33,20,18,8,32,20,18,12,42,43,,,['5.89'],['6.48'],['6.33'],['5.81'],['5.68'],['6.21'],['6.46'],6.31,['6.15']
"UNIVERSITY OF MUMBAI 
",8,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280029,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,44,20,20,13,48,22,22,13,55,19,17,14,58,21,20,18,42,45,,,['6.63'],['7.37'],['6.56'],['6.44'],['6.79'],['7.96'],['8.00'],8.23,['7.25']
"UNIVERSITY OF MUMBAI 
",8,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280030,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32,18,15,10,43,18,18,11,41,18,16,8,46,19,19,10,39,45,,,['Diploma'],['Diploma'],['5.52'],['5.89'],['5.89'],['6.82'],['6.46'],6.73,['6.22']
"UNIVERSITY OF MUMBAI 
",8,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280031,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,65,20,17,12,64,18,18,12,46,21,17,11,62,20,17,11,43,41,,,['Diploma'],['Diploma'],['7.33'],['7.22'],['6.89'],['6.54'],['7.14'],8.50,['7.27']
"UNIVERSITY OF MUMBAI 
",8,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280032,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,58,20,20,12,57,20,21,14,49,20,22,19,58,21,21,15,40,48,,,['7.07'],['7.89'],['8.33'],['8.48'],['9.00'],['8.61'],['8.50'],8.62,['8.31']
"UNIVERSITY OF MUMBAI 
",9,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280033,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,18,17,11,41,19,19,14,57,17,15,13,54,18,16,14,38,47,,,['4.40'],['4.32'],['5.48'],['5.74'],['4.82'],['5.64'],['6.89'],7.81,['5.64']
"UNIVERSITY OF MUMBAI 
",9,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280034,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,61,21,22,17,66,20,18,13,54,20,21,15,55,23,21,13,39,48,,,['7.26'],['8.44'],['8.19'],['8.07'],['7.79'],['8.25'],['8.04'],8.73,['8.10']
"UNIVERSITY OF MUMBAI 
",9,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280035,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,63,21,17,9,57,22,20,13,45,20,19,14,62,22,20,15,41,38,,,['Diploma'],['Diploma'],['6.89'],['7.11'],['7.18'],['8.46'],['8.18'],8.31,['7.69']
"UNIVERSITY OF MUMBAI 
",9,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280036,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,19,15,8,49,20,17,9,57,18,15,11,49,21,16,10,37,39,,,['Diploma'],['Diploma'],['5.44'],['4.89'],['5.50'],['5.64'],['6.29'],7.08,['5.81']
"UNIVERSITY OF MUMBAI 
",10,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280037,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,52,23,24,17,57,21,21,15,50,20,21,15,53,23,22,15,40,48,,,['7.15'],['7.22'],['8.00'],['7.48'],['8.29'],['8.21'],['8.21'],8.31,['7.86']
"UNIVERSITY OF MUMBAI 
",10,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280038,['ISE8042:POWER'],F,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,15F,0F,0F,4F,A,0F,0F,4F,8F,0F,0F,6F,32E,0F,0F,4F,31E,0F,,,['5.81'],['6.09'],['5.78'],['5.59'],['5.46'],['6.18'],['6.93'],--,['--']
"UNIVERSITY OF MUMBAI 
",10,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280039,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,56,23,24,16,45,22,21,15,56,21,20,15,45,23,17,17,44,45,,,['6.67'],['7.52'],['8.63'],['7.89'],['7.68'],['8.32'],['8.68'],8.46,['7.98']
"UNIVERSITY OF MUMBAI 
",10,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280040,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,48,22,24,12,49,19,21,13,50,20,22,12,40,23,23,13,39,48,,,['Diploma'],['Diploma'],['8.19'],['6.74'],['7.71'],['7.89'],['7.50'],8.00,['7.67']
"UNIVERSITY OF MUMBAI 
",11,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280041,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,18,12,8,44,15,16,10,44,12,17,9,34,18,18,11,30,25,,,['5.22'],['5.96'],['4.63'],['5.07'],['5.64'],['5.14'],['5.29'],5.85,['5.35']
"UNIVERSITY OF MUMBAI 
",11,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280042,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,59,21,20,10,49,20,19,12,58,18,22,14,51,23,21,15,42,48,,,['6.63'],['8.33'],['7.78'],['7.30'],['7.57'],['7.54'],['7.36'],8.27,['7.60']
"UNIVERSITY OF MUMBAI 
",11,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280043,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,60,20,24,9,67,22,20,13,63,19,18,14,44,21,18,13,42,48,,,['7.15'],['7.35'],['6.74'],['6.89'],['6.61'],['7.36'],['7.29'],8.65,['7.26']
"UNIVERSITY OF MUMBAI 
",11,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280044,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,47,22,23,16,63,21,21,13,67,20,18,15,52,21,20,15,41,48,,,['Diploma'],['Diploma'],['6.19'],['6.37'],['7.43'],['8.14'],['7.89'],8.88,['7.48']
"UNIVERSITY OF MUMBAI 
",12,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280045,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,42,17,12,8,59,17,17,10,44,19,13,9,44,20,17,9,30,25,,,['Diploma'],['Diploma'],['5.52'],['4.93'],['5.39'],['5.50'],['5.96'],6.31,['5.60']
"UNIVERSITY OF MUMBAI 
",12,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280046,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,55,22,15,8,59,20,17,12,57,19,17,10,45,20,17,11,41,46,,,['Diploma'],['Diploma'],['6.07'],['5.81'],['5.14'],['6.86'],['7.04'],7.85,['6.46']
"UNIVERSITY OF MUMBAI 
",12,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280047,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,53,22,24,13,54,20,21,12,54,21,21,14,43,20,20,15,40,48,,,['5.67'],['6.33'],['6.19'],['6.37'],['7.18'],['7.50'],['7.75'],8.00,['6.87']
"UNIVERSITY OF MUMBAI 
",12,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280048,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,44,17,13,9,33,16,16,12,37,17,14,10,32,20,18,9,38,47,,,['6.09'],['5.69'],['6.19'],['5.00'],['5.89'],['0.00'],['0.00'],6.54,['--']
"UNIVERSITY OF MUMBAI 
",13,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280049,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,20,15,9,59,22,18,13,53,21,17,11,45,21,16,12,39,41,,,['Diploma'],['Diploma'],['6.93'],['6.89'],['6.75'],['7.11'],['7.14'],7.96,['7.13']
"UNIVERSITY OF MUMBAI 
",13,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280050,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,17,13,9,45,20,19,9,51,18,16,12,43,20,16,13,39,41,,,['Diploma'],['Diploma'],['7.15'],['6.89'],['6.86'],['6.43'],['6.54'],7.50,['6.90']
"UNIVERSITY OF MUMBAI 
",13,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280051,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,52,19,21,11,46,21,20,8,46,17,22,9,44,20,18,14,43,44,,,['5.74'],['6.54'],['5.78'],['5.44'],['6.57'],['5.36'],['6.64'],7.62,['6.21']
"UNIVERSITY OF MUMBAI 
",13,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280052,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,42,17,13,11,56,17,18,8,52,15,14,10,39,18,16,12,30,25,,,['Diploma'],['Diploma'],['6.26'],['5.78'],['5.79'],['0.00'],['6.61'],6.46,['--']
"UNIVERSITY OF MUMBAI 
",14,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280053,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,55,19,15,13,49,22,21,16,52,21,20,12,54,22,18,16,42,44,,,['Diploma'],['Diploma'],['8.56'],['8.30'],['7.64'],['8.50'],['8.32'],8.19,['8.25']
"UNIVERSITY OF MUMBAI 
",14,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280054,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,47,19,16,11,47,20,20,13,54,19,22,12,57,19,17,13,31,25,,,['6.67'],['7.07'],['6.07'],['5.74'],['6.61'],['7.50'],['7.46'],7.08,['6.78']
"UNIVERSITY OF MUMBAI 
",14,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280055,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,52,17,13,8,36,17,17,12,51,13,17,8,40,18,17,8,38,45,,,['5.52'],['6.13'],['5.44'],['5.00'],['4.75'],['5.57'],['5.89'],6.96,['5.66']
"UNIVERSITY OF MUMBAI 
",14,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280056,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,43,23,24,11,52,22,20,15,47,21,22,14,48,23,20,18,42,44,,,['7.59'],['7.67'],['6.59'],['6.59'],['6.96'],['7.89'],['7.96'],8.00,['7.41']
"UNIVERSITY OF MUMBAI 
",15,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280057,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,54,21,18,9,45,22,21,13,53,19,17,9,40,22,20,12,44,46,,,['Diploma'],['Diploma'],['5.48'],['5.89'],['6.29'],['6.82'],['7.04'],7.73,['6.54']
"UNIVERSITY OF MUMBAI 
",15,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280058,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,42,20,20,9,48,21,19,11,50,17,21,12,46,19,18,12,43,43,,,['5.63'],['5.20'],['5.81'],['5.93'],['7.75'],['6.71'],['7.32'],7.58,['6.49']
"UNIVERSITY OF MUMBAI 
",15,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280059,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,58,22,18,11,44,21,22,15,54,20,21,16,61,22,23,17,43,48,,,['6.59'],['7.67'],['7.15'],['7.56'],['8.07'],['8.29'],['8.57'],8.46,['7.80']
"UNIVERSITY OF MUMBAI 
",15,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280060,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,52,22,17,10,34,19,19,10,53,19,22,11,38,19,18,12,39,48,,,['5.96'],['7.04'],['6.15'],['7.15'],['7.46'],['7.25'],['7.54'],7.38,['6.99']
