college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
561:PIITE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184151,ETE801:SPEECH,P,ETC801,ETC802,ETC803,ELECTIVEII,34.0,14.0,14.0,9.0,32.0,16.0,9.0,25.0,0.0,14.0,8.0,20.0,0.0,12.0,['Diploma'],['Diploma'],5.04,4.5,4.78,4.89,5.93,6.42,5.57
561:PIITE,ELECTRONICS ENGINEERING,11182563,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,16.0,13.0,9.0,33.0,16.0,8.0,32.0,16.0,15.0,8.0,32.0,14.0,9.0,['Diploma'],['Diploma'],4.81,4.5,4.86,4.44,5.44,6.13,5.16
561:PIITE,INFORMATION TECHNOLOGY ENGINEERING,12183365,ITC8044:ROBOTICS,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,15.0,16.0,8.0,32.0,14.0,9.0,32.0,15.0,1.0,6.0,32.0,21.0,15.0,['Diploma'],['Diploma'],4.75,4.89,5.04,5.16,6.26,6.54,5.82
561:PIITE,MECHANICAL,14183475,MEE8023:PROJECT,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,14.0,10.0,8.0,28.0,0.0,10.0,17.0,12.0,14.0,8.0,17.0,17.0,8.0,['Diploma'],['Diploma'],5.46,4.71,5.07,4.54,5.48,6.4,5.3
688:DBIT,COMPUTER ENGINEERING,7184599,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,38.0,10.0,15.0,8.0,39.0,13.0,13.0,33.0,16.0,18.0,9.0,32.0,14.0,8.0,['Diploma'],['Diploma'],4.93,4.82,5.25,6.13,5.84,6.7,5.97
688:DBIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184299,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,39.0,18.0,16.0,11.0,32.0,17.0,9.0,33.0,18.0,20.0,11.0,25.0,0.0,11.0,['Diploma'],['Diploma'],4.58,4.5,4.67,4.75,5.89,6.58,5.17
688:DBIT,INFORMATION TECHNOLOGY ENGINEERING,12183499,ITC8041:ENTERPRISE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,10.0,13.0,9.0,32.0,10.0,8.0,32.0,13.0,16.0,8.0,32.0,11.0,8.0,['Diploma'],['Diploma'],4.93,4.68,4.96,5.04,5.81,5.58,5.48
688:DBIT,MECHANICAL,14183622,MEE80210:WORLD,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,12.0,10.0,8.0,33.0,10.0,8.0,32.0,16.0,17.0,9.0,33.0,13.0,8.0,['Diploma'],['Diploma'],5.0,4.68,4.96,4.71,5.44,6.4,5.31
689:KCCE,COMPUTER ENGINEERING,7184681,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,17.0,18.0,10.0,33.0,16.0,9.0,27.0,0.0,16.0,8.0,20.0,15.0,8.0,['Diploma'],['Diploma'],4.57,4.61,4.88,5.17,5.88,6.48,5.5
689:KCCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184362,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,37.0,17.0,18.0,9.0,32.0,15.0,10.0,25.0,0.0,17.0,8.0,18.0,19.0,11.0,['Diploma'],['Diploma'],5.19,4.93,5.11,4.61,5.56,6.58,5.56
