college_code,department,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
10:MHSSCE,AUTOMOBILE ENGINEERING,39280033.12820513,51.15384615384615,16.974358974358974,19.923076923076923,13.897435897435898,52.35897435897436,18.82051282051282,10.897435897435898,51.97435897435897,18.897435897435898,17.82051282051282,13.846153846153847,43.8974358974359,17.41025641025641,11.256410256410257,6.571538461538462,6.763589743589744,6.762564102564103,6.338974358974359,6.497948717948717,6.2846153846153845,7.337435897435898,7.754871794871795,6.78948717948718
10:MHSSCE,CIVIL,24917902.09090909,43.19191919191919,16.626262626262626,18.01010101010101,13.343434343434344,46.707070707070706,21.32323232323232,16.1010101010101,51.303030303030305,20.09090909090909,19.616161616161616,14.878787878787879,50.323232323232325,19.707070707070706,13.06060606060606,7.1475757575757575,7.512525252525251,6.973636363636363,7.151919191919195,7.382424242424244,7.4721212121212135,7.6556565656565665,7.644848484848483,7.368383838383834
10:MHSSCE,COMPUTER ENGINEERING,19880705.80116959,53.134502923976605,19.15204678362573,20.146198830409357,16.614035087719298,54.98830409356725,18.935672514619885,17.70175438596491,45.719298245614034,20.842105263157894,20.80701754385965,16.46783625730994,47.45029239766082,20.4093567251462,16.497076023391813,6.824678362573096,7.265614035087722,6.828713450292402,7.251871345029241,7.759122807017547,7.941695906432754,8.070643274853799,8.378128654970759,7.540584795321638
10:MHSSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181035.022222223,50.355555555555554,19.11111111111111,19.666666666666668,15.4,49.888888888888886,19.444444444444443,13.28888888888889,45.31111111111111,20.8,19.288888888888888,10.666666666666666,42.6,19.444444444444443,12.822222222222223,6.273333333333333,6.379555555555554,6.570888888888889,6.158222222222221,7.2857777777777795,7.047111111111112,7.025999999999999,7.711333333333333,6.807555555555556
10:MHSSCE,ELECTRONICS ENGINEERING,35943725.75,46.86666666666667,19.283333333333335,18.766666666666666,15.683333333333334,50.3,20.716666666666665,14.2,44.983333333333334,20.816666666666666,19.0,16.016666666666666,48.15,20.2,15.533333333333333,6.481166666666667,6.7875000000000005,6.549166666666666,6.812000000000002,7.52,7.623833333333331,7.4415000000000004,7.68716666666667,7.113500000000001
10:MHSSCE,INFORMATION TECHNOLOGY ENGINEERING,30375619.05940594,51.336633663366335,20.96039603960396,22.04950495049505,17.277227722772277,47.9009900990099,20.594059405940595,16.04950495049505,46.99009900990099,22.96039603960396,22.435643564356436,18.138613861386137,49.16831683168317,21.980198019801982,16.85148514851485,6.622079207920794,7.129504950495049,6.949801980198021,7.31287128712871,7.515445544554455,7.397227722772283,7.765643564356436,8.322772277227722,7.377425742574256
10:MHSSCE,MECHANICAL,34335161.27835052,46.371134020618555,19.8659793814433,18.7319587628866,12.628865979381443,46.28865979381443,21.309278350515463,17.556701030927837,47.93814432989691,20.79381443298969,20.8659793814433,14.422680412371134,50.79381443298969,20.515463917525775,16.010309278350515,7.618453608247419,7.935670103092783,8.033505154639176,7.482783505154638,7.183711340206185,7.47494845360825,7.8303092783505175,8.03958762886598,7.7008247422680425
116:CSM INST,CIVIL,24730592.5,38.833333333333336,22.5,22.833333333333332,14.0,42.333333333333336,22.5,14.833333333333334,42.833333333333336,22.166666666666668,23.0,15.0,51.666666666666664,22.333333333333332,14.333333333333334,5.849999999999999,6.513333333333333,6.271666666666666,6.176666666666667,6.896666666666666,6.9816666666666665,7.223333333333334,7.555,6.683333333333334
116:CSM INST,COMPUTER ENGINEERING,7181224.0,42.0,23.25,24.0,15.0,42.5,22.5,17.25,44.25,22.75,23.75,16.0,48.5,23.75,15.75,6.137499999999999,6.8575,6.3125,6.5975,7.3975,7.727499999999999,7.72,7.9625,7.092500000000001
116:CSM INST,MECHANICAL,28256933.32,43.4,21.0,21.6,12.64,46.68,22.44,15.12,46.8,22.44,22.16,12.4,45.36,23.76,16.2,6.377199999999999,6.8020000000000005,6.518399999999999,6.2828,6.3915999999999995,6.744400000000001,7.244800000000001,7.928,6.7868
124:MGMCET,CIVIL,26100132.20805369,43.81879194630873,18.42953020134228,17.29530201342282,12.885906040268456,48.79194630872483,16.80536912751678,14.771812080536913,51.43624161073826,19.818791946308725,19.22818791946309,13.89261744966443,51.09395973154363,17.36241610738255,13.778523489932885,6.238791946308725,6.454496644295304,6.014496644295302,6.181140939597316,6.371140939597313,6.272013422818795,6.997651006711407,7.46288590604027,6.4999328859060395
124:MGMCET,COMPUTER ENGINEERING,21805145.166666668,53.53030303030303,18.46969696969697,19.41919191919192,15.525252525252526,53.505050505050505,16.742424242424242,16.227272727272727,46.72727272727273,17.782828282828284,18.671717171717173,13.48989898989899,47.74747474747475,18.2020202020202,14.777777777777779,6.3939898989899016,6.63651515151515,5.8291414141414135,6.1015151515151524,6.487121212121213,6.864595959595962,7.7387878787878766,7.886868686868689,6.742676767676765
124:MGMCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181314.25862069,49.63793103448276,17.482758620689655,20.017241379310345,12.586206896551724,48.46551724137931,19.29310344827586,13.189655172413794,47.1551724137931,19.517241379310345,19.155172413793103,15.068965517241379,43.36206896551724,18.120689655172413,15.431034482758621,5.917586206896553,6.063275862068968,5.83,5.680344827586206,6.333103448275861,6.097586206896551,6.771896551724137,7.677758620689656,6.296896551724139
124:MGMCET,INFORMATION TECHNOLOGY ENGINEERING,31006703.944444444,50.55555555555556,17.462962962962962,17.87037037037037,12.962962962962964,46.51851851851852,18.37037037037037,14.25925925925926,44.24074074074074,17.425925925925927,17.944444444444443,12.703703703703704,46.351851851851855,18.48148148148148,13.25925925925926,6.0411111111111095,6.298888888888888,5.821296296296295,6.084999999999998,6.343518518518517,6.141481481481482,6.845555555555558,7.302407407407409,6.360925925925926
124:MGMCET,MECHANICAL,36843906.26751592,44.27388535031847,20.840764331210192,21.21656050955414,15.286624203821656,47.21656050955414,20.636942675159236,14.707006369426752,46.17197452229299,18.94267515923567,19.32484076433121,13.318471337579618,49.07006369426752,20.171974522292995,15.331210191082803,6.444777070063696,6.721974522292996,6.6741401273885375,6.560254777070066,6.43191082802548,6.6350955414012756,7.252993630573247,7.891210191082805,6.826815286624203
126:SAKEC,COMPUTER ENGINEERING,19497440.86404834,52.49848942598187,18.02416918429003,18.51963746223565,14.978851963746223,52.50453172205438,20.13595166163142,15.725075528700906,46.14803625377643,19.570996978851962,17.794561933534744,16.244712990936556,47.235649546827794,19.622356495468278,13.534743202416918,7.1238368580060385,7.412628398791542,7.328036253776432,7.512205438066461,7.233625377643504,7.566344410876133,7.939214501510579,8.07658610271903,7.5247129909365515
126:SAKEC,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181432.135135135,50.5945945945946,20.243243243243242,20.08108108108108,13.0,50.054054054054056,19.756756756756758,15.945945945945946,47.189189189189186,21.08108108108108,20.43243243243243,14.108108108108109,43.62162162162162,19.37837837837838,13.135135135135135,6.675405405405405,7.068378378378379,7.130540540540542,7.118378378378378,7.385405405405405,7.24756756756757,7.217027027027027,7.837567567567568,7.209729729729728
126:SAKEC,ELECTRONICS ENGINEERING,29948715.08,44.88,19.74,19.99,13.8,50.68,20.33,14.09,45.72,20.93,20.55,15.4,46.52,19.97,15.03,6.4346000000000005,6.6595,6.586899999999999,6.927699999999998,7.1166,7.110199999999997,7.015300000000001,7.709599999999998,6.946200000000001
